,title,price,link
0,"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6inch (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Grey/1.63Kg), 82RK011GIN  ","56,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo1Mzk4MDU5NzIyNzAwMjAzOjE3MjE2NjI3MDE6c3BfYXRmOjMwMDExMDk3NDc0NDMzMjo6MDo6&url=%2FLenovo-IdeaPad-39-62cm-Windows-82RK011EIN%2Fdp%2FB0CMGZCDRW%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1ERF41KBXZZUQ%26dib%3DeyJ2IjoiMSJ9.AgylnyZyRtUrvE1Rou7559RhWY1z2q9oLdH5F5eYDh5SJ7MrCAad2OV9XEl5zhbUrxC-qp4R5Re1r6BaqUBTX1ZUPZc_cXnhVgIhaVAt7YJ89I_kK7RHzx6OjV5aCbT_5GCA34J0dtnVlfKAMffXk_cwR2nuSQzQMP0JTAwA6ZWmJhATFR01sBAS-Ynb53bwcmZk_m-MgYbL1_dQFUJxtcaj1Ra1s6pJrXPQ60mjhAM.xWJv3GRGHpjnuY8hNO3vK9pDJQKSyqLffCvEiew8nxU%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721662701%26sprefix%3Dlaptop%252Caps%252C273%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Primebook S Wifi, 2024(NEW) Android Based MediaTek MT8183 - (PrimeOS) Thin and Light Laptop (11.6 Inch, 1.065 Kg, Type C) (4GB/128GB eMMC Storage)  ","13,980",https://amazon.in//Primebook-Android-Based-MediaTek-MT8183/dp/B0D2Y4KLGN/ref=sr_1_36?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-36
2,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (16GB RAM / 512GB SSD /14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics), Black  ","18,489",https://amazon.in//Refurbished-Lenovo-ThinkPad-Windows-Graphics/dp/B0CR496TBN/ref=sr_1_37?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-37
3,"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/HD Camera/1 Year ADP Free/Grey/1.6Kg), 82R400BGIN  ","35,490",https://amazon.in//Lenovo-IdeaPad-39-62cm-Windows-82R400BGIN/dp/B09MM58Y7Q/ref=sr_1_38?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-38
4,"Acer ALG 12th Gen Intel Core i5 Gaming Laptop (16GB RAM/512GB SSD/4GB RTX 2050 Graphics/60Hz/Win11Home/Wifi 6) AL15G-52, 39.62cm (15.6 inch) FHD Display, Premium Metal Body, Steel Gray, 1.99KG  ","51,999",https://amazon.in//Acer-Graphics-Win11Home-AL15G-52-39-62cm/dp/B0D32SKB4C/ref=sr_1_39?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-39
5,"ASUS Vivobook 15, 15.6"" (39.62cm) FHD, Intel Core i7-12700H 12th Gen, Thin and Light Laptop (16GB/512GB SSD/Quiet Blue/1.7 Kg), X1502ZA-EJ744WS  ","60,990",https://amazon.in//ASUS-Vivobook-39-62cm-i7-12700H-X1502ZA-EJ744WS/dp/B0D3LQRHWC/ref=sr_1_40?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-40
6,"Bestor 4-Port USB 3.0 Hub [90Â°/180Â° Degree Rotatable], USB Splitter with 3 USB Ports & 1 USB C Power/Data Port, USB Extender for Laptop, Car, Mac Pro, iMac, MacBook Air, MacBook Pro, MacBook and More  ",599,https://amazon.in/https://aax-eu.amazon.in/x/c/JLWR9UJOQxbjrEk6cJDa1FkAAAGQ2xgBGQMAAAH2AQBvbm9fdHhuX2JpZDIgICBvbm9fdHhuX2ltcDEgICDihkZj/https://www.amazon.in/Bestor-Rotatable-Splitter-Extender-MacBook/dp/B0CZXS8QJL/ref=sxin_16_sbv_search_btf?content-id=amzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da%3Aamzn1.sym.3be3fb3e-0f2b-4eeb-88e5-5121210c18da&crid=1ERF41KBXZZUQ&cv_ct_cx=laptop&dib=eyJ2IjoiMSJ9.fBpSjOFj3LAPU5-7xuOfGw.m2KFEBkwbBn921Ystzxtae9E2-Nv584GhayUn9Y4uwM&dib_tag=se&keywords=laptop&pd_rd_i=B0CZXS8QJL&pd_rd_r=ef181cbd-9514-487b-8b35-80c382fe5308&pd_rd_w=Buldx&pd_rd_wg=2Hd1a&pf_rd_p=3be3fb3e-0f2b-4eeb-88e5-5121210c18da&pf_rd_r=E6DWT7KMKECNG4PNEEJS&qid=1721662701&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=laptop%2Caps%2C273&sr=1-1-7c8005b1-48c1-4d2f-8d94-83bdc3b16b8a
7,"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W  ","23,150",https://amazon.in//ASUS-Vivobook-35-56-1920-1080/dp/B0CZXM6V2X/ref=sr_1_41?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-41
8,"ZEBRONICS PRO Series Z NBC 3S, Intel Core 12th Gen i3 Processor 8GB RAM & 512GB SSD Laptop, 15.6 Inch (39.6CM), IPS 180Â° Display, Dolby Atmos, 38.5Wh Large Battery, Windows 11, Midnight Blue,1.76 Kg  ","24,990",https://amazon.in//ZEBRONICS-Processor-15-6-Inch-Display-Midnight/dp/B0CJJ7YZMC/ref=sr_1_42?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-42
9,"Dell 15 Thin & Light Laptop, Intel Core 13th Generation i5-1334U Processor, 16GB DDR4 & 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Windows 11 + MSO'21 + 15 Month Mcafee, Carbon Black, 1.66kg  ","51,149",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTI1NTk4NjYyNTEwMjAzOjE3MjE2NjI3MzA6c3BfbXRmOjMwMDE4OTI5MDg2MTYzMjo6MDo6&url=%2FDell-Generation-i5-1334U-Processor-39-62cm%2Fdp%2FB0D46QQHW6%2Fref%3Dsr_1_43_sspa%3Fcrid%3D1ERF41KBXZZUQ%26dib%3DeyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721662730%26sprefix%3Dlaptop%252Caps%252C273%26sr%3D8-43-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
10,"(Refurbished) Dell Latitude Laptop 7390 Intel Core i7 Mobile-8th Gen Processor, 4 GB Ram & 128 GB SSD, 1  ","26,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTI1NTk4NjYyNTEwMjAzOjE3MjE2NjI3MzA6c3BfbXRmOjIwMTI0NDQzMTc3Nzk4OjowOjo&url=%2FRenewed-Dell-Latitude-Mobile-8th-Processor%2Fdp%2FB0BVZYFX11%2Fref%3Dsr_1_44_sspa%3Fcrid%3D1ERF41KBXZZUQ%26dib%3DeyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1721662730%26sprefix%3Dlaptop%252Caps%252C273%26sr%3D8-44-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
11,"MSI Thin 15, Intel Core i5-12450H, 40CM FHD 144Hz Gaming Laptop(8GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1696IN  ","46,990",https://amazon.in//MSI-i5-12450H-Windows-GeForce-B12UCX-1696IN/dp/B0CV9S9VTM/ref=sr_1_45?crid=1ERF41KBXZZUQ&dib=eyJ2IjoiMSJ9.BxXJ0dFDszzney6V-d5ouaL90h12h0DFE7TMVTcv_cC10LRNWlu2LqcxNIFlVT8KEr-N174p9wDLLnHbBsag1MWsJRojVvga8SjRDDYPexF9_kT-N40YfXhZk9ee-BL1auX8Nn90Y7yCKcjbJEMomSUdW2HmPC8T__lyT1odOseBzZmmbL0_immgYfWh-dKMuX1TTFHsqxtNqVnuPM71oB6bgQiBViNtSi52981AGOI.-Kc9bO73OQJf1UQfxSShNQ_uhHm9wTkCmT8Maimp5vA&dib_tag=se&keywords=laptop&qid=1721662730&sprefix=laptop%2Caps%2C273&sr=8-45
